AOI,z,SNR,pos,type,channel
1,0,14.294834811150887,pos1,real,blue
1,1,16.091939922832054,pos1,real,blue
1,2,18.039473824937293,pos1,real,blue
1,3,11.449788660025549,pos1,real,blue
1,4,14.552044044668655,pos1,real,blue
1,5,77.27880933517214,pos1,real,blue
1,6,2.5085755591909793,pos1,real,blue
1,7,132.4092595247843,pos1,real,blue
1,8,273.30141628490435,pos1,real,blue
1,9,251.82727776274305,pos1,real,blue
1,10,92.12562712763173,pos1,real,blue
1,11,123.94706238031071,pos1,real,blue
1,12,42.30234088933972,pos1,real,blue
1,13,9.986788529229,pos1,real,blue
1,14,12.127535297876957,pos1,real,blue
1,15,10.054763725144369,pos1,real,blue
1,16,8.604701151136705,pos1,real,blue
2,0,15.171857999948198,pos1,real,blue
2,1,15.16655466212023,pos1,real,blue
2,2,14.953528245491976,pos1,real,blue
2,3,10.950120068184814,pos1,real,blue
2,4,13.814465448490555,pos1,real,blue
2,5,99.32763837171758,pos1,real,blue
2,6,40.55916418035871,pos1,real,blue
2,7,151.90262840981407,pos1,real,blue
2,8,233.12681567781786,pos1,real,blue
2,9,128.66721756645492,pos1,real,blue
2,10,41.07321360888912,pos1,real,blue
2,11,79.04615594532792,pos1,real,blue
2,12,10.576401773050295,pos1,real,blue
2,13,8.751190879700749,pos1,real,blue
2,14,10.889497010074146,pos1,real,blue
2,15,10.244277722992036,pos1,real,blue
2,16,8.886220265951883,pos1,real,blue
3,0,14.22677053697566,pos1,real,blue
3,1,16.90200171114762,pos1,real,blue
3,2,20.1436698747457,pos1,real,blue
3,3,14.191905942340565,pos1,real,blue
3,4,73.04620915798347,pos1,real,blue
3,5,168.904461399331,pos1,real,blue
3,6,107.0061249859614,pos1,real,blue
3,7,239.79563839296955,pos1,real,blue
3,8,233.40540157279057,pos1,real,blue
3,9,86.2026185058731,pos1,real,blue
3,10,2.082204986962925,pos1,real,blue
3,11,58.19224389562575,pos1,real,blue
3,12,9.246945860612845,pos1,real,blue
3,13,8.191535503034045,pos1,real,blue
3,14,11.541661220058746,pos1,real,blue
3,15,10.048545214241908,pos1,real,blue
3,16,9.157509166804571,pos1,real,blue
4,0,7.517803219381351,pos1,real,blue
4,1,7.551381481525879,pos1,real,blue
4,2,7.7026925709047305,pos1,real,blue
4,3,7.538889316036284,pos1,real,blue
4,4,8.201100281186285,pos1,real,blue
4,5,7.463692418339579,pos1,real,blue
4,6,1.29115120024308,pos1,real,blue
4,7,75.05830040800976,pos1,real,blue
4,8,141.61047536397032,pos1,real,blue
4,9,99.57121226874425,pos1,real,blue
4,10,1.4189464243610532,pos1,real,blue
4,11,51.081088234773055,pos1,real,blue
4,12,6.7544205601422735,pos1,real,blue
4,13,6.2419448475360175,pos1,real,blue
4,14,7.673445739145793,pos1,real,blue
4,15,6.902672765704932,pos1,real,blue
4,16,6.641196789585519,pos1,real,blue
1,0,127007743.83544922,pos1,ideal,blue
1,0,29.09297610131768,pos2,real,blue
1,1,35.58136676758132,pos2,real,blue
1,2,47.67087703838267,pos2,real,blue
1,3,58.480669595570426,pos2,real,blue
1,4,118.09656996660465,pos2,real,blue
1,5,276.8994534118638,pos2,real,blue
1,6,211.66065451545933,pos2,real,blue
1,7,302.83623716852776,pos2,real,blue
1,8,154.9801896551327,pos2,real,blue
1,9,129.14620121178308,pos2,real,blue
1,10,3.651052172134463,pos2,real,blue
1,11,69.34663187071484,pos2,real,blue
1,12,13.630805115932489,pos2,real,blue
1,13,11.615597715300584,pos2,real,blue
1,14,13.900832417603844,pos2,real,blue
1,15,10.45328336157754,pos2,real,blue
1,16,9.334631238360524,pos2,real,blue
2,0,12.472988003907334,pos2,real,blue
2,1,12.379024199573879,pos2,real,blue
2,2,12.939341955171193,pos2,real,blue
2,3,9.463038034238563,pos2,real,blue
2,4,9.337834271469372,pos2,real,blue
2,5,80.39390264985762,pos2,real,blue
2,6,2.043289996076701,pos2,real,blue
2,7,154.99235841144647,pos2,real,blue
2,8,223.51002358366978,pos2,real,blue
2,9,117.72926611268879,pos2,real,blue
2,10,1.7796662307914357,pos2,real,blue
2,11,54.53666745074894,pos2,real,blue
2,12,8.262077972931376,pos2,real,blue
2,13,6.809272909138556,pos2,real,blue
2,14,8.538361681308688,pos2,real,blue
2,15,8.433695890395724,pos2,real,blue
2,16,7.671671199129159,pos2,real,blue
3,0,9.349377759929821,pos2,real,blue
3,1,9.055390023688997,pos2,real,blue
3,2,8.718483561135681,pos2,real,blue
3,3,6.630955997586568,pos2,real,blue
3,4,7.278751601880566,pos2,real,blue
3,5,131.9056541797641,pos2,real,blue
3,6,106.83605621967796,pos2,real,blue
3,7,160.97788672712048,pos2,real,blue
3,8,194.62686692223053,pos2,real,blue
3,9,1.6381024464856633,pos2,real,blue
3,10,1.447698798423504,pos2,real,blue
3,11,7.026260027696537,pos2,real,blue
3,12,6.730488094429666,pos2,real,blue
3,13,5.387443103506265,pos2,real,blue
3,14,6.7676611737221615,pos2,real,blue
3,15,5.817281199098564,pos2,real,blue
3,16,5.455595169132179,pos2,real,blue
1,0,85274307.25097656,pos2,ideal,blue
1,0,6.759622771431865,pos3,real,blue
1,1,9.38692184914354,pos3,real,blue
1,2,10.730850092166872,pos3,real,blue
1,3,12.447433901502936,pos3,real,blue
1,4,9.267839478407181,pos3,real,blue
1,5,8.4626335062993,pos3,real,blue
1,6,62.37534387430357,pos3,real,blue
1,7,1.3736016340871688,pos3,real,blue
1,8,76.98734760823388,pos3,real,blue
1,9,136.32296619639848,pos3,real,blue
1,10,77.3104085111413,pos3,real,blue
1,11,1.6407757330892039,pos3,real,blue
1,12,74.62653169910301,pos3,real,blue
1,13,7.847838850621642,pos3,real,blue
1,14,6.792793290378335,pos3,real,blue
1,15,8.802216554203241,pos3,real,blue
1,16,7.387993164636241,pos3,real,blue
2,0,10.010386356736138,pos3,real,blue
2,1,22.891148809607863,pos3,real,blue
2,2,21.615725072869076,pos3,real,blue
2,3,27.09110033088966,pos3,real,blue
2,4,41.987776452761096,pos3,real,blue
2,5,101.93256638314237,pos3,real,blue
2,6,208.94052096021235,pos3,real,blue
2,7,110.18333391182226,pos3,real,blue
2,8,258.5463819921794,pos3,real,blue
2,9,312.1561189044425,pos3,real,blue
2,10,151.2566886519593,pos3,real,blue
2,11,50.423918389801436,pos3,real,blue
2,12,109.5113910947753,pos3,real,blue
2,13,15.818354135176723,pos3,real,blue
2,14,10.65117565503332,pos3,real,blue
2,15,12.368548794787001,pos3,real,blue
2,16,10.771311531549737,pos3,real,blue
3,0,8.597202092435515,pos3,real,blue
3,1,15.663164957644826,pos3,real,blue
3,2,14.084370969509578,pos3,real,blue
3,3,14.700572785081526,pos3,real,blue
3,4,12.62490648390136,pos3,real,blue
3,5,74.21535553014277,pos3,real,blue
3,6,155.15649648302542,pos3,real,blue
3,7,100.12855544196371,pos3,real,blue
3,8,205.37754523804412,pos3,real,blue
3,9,189.08130000265848,pos3,real,blue
3,10,72.69512005894082,pos3,real,blue
3,11,2.0641208791405927,pos3,real,blue
3,12,9.255243213645638,pos3,real,blue
3,13,7.813244660820728,pos3,real,blue
3,14,7.127865650490925,pos3,real,blue
3,15,9.8728319498704,pos3,real,blue
3,16,9.43650266464679,pos3,real,blue
4,0,8.875043736378045,pos3,real,blue
4,1,14.526632482932513,pos3,real,blue
4,2,14.518614547637789,pos3,real,blue
4,3,17.571213056579555,pos3,real,blue
4,4,12.493056347462518,pos3,real,blue
4,5,12.114654967016698,pos3,real,blue
4,6,89.31167366039294,pos3,real,blue
4,7,2.1347628890003683,pos3,real,blue
4,8,123.71386762531415,pos3,real,blue
4,9,173.50352653525294,pos3,real,blue
4,10,99.92776512293695,pos3,real,blue
4,11,2.1335365507503283,pos3,real,blue
4,12,71.27393330508238,pos3,real,blue
4,13,9.065832674445305,pos3,real,blue
4,14,8.26902918322022,pos3,real,blue
4,15,10.397717503566398,pos3,real,blue
4,16,9.163600993459578,pos3,real,blue
1,0,138010910.0341797,pos3,ideal,blue
